,hostname,st_teff,st_mass,st_rad,st_met,st_lum,st_age,st_vsin
3167,Kepler-931,5068.833333333333,0.8055,0.996,-0.02,-0.13412174868390936,13.9,5.598415605095542
3168,Kepler-932,5229.6,0.825,0.8380333999999999,-0.08,-0.32176,13.8,5.598415605095542
3169,Kepler-933,5318.3,0.8275555555555556,0.7896099,-0.56,-0.21081,4.68,5.598415605095542
3170,Kepler-934,4993.6,0.8083333333333333,0.8315667,0.14,-0.47799,13.9,5.598415605095542
3171,Kepler-935,4863.009,0.7841111111111111,0.7652911,0.2057,-0.63887,3.8,5.598415605095542
3172,Kepler-936,5463.095,0.9796666666666667,1.084,0.38,-0.13412174868390936,4.57,5.598415605095542
3173,Kepler-937,5995.78925,1.0068095238095238,1.220607,-0.07859999999999999,0.28097,3.24,5.598415605095542
3174,Kepler-938,5478.486666666667,0.9170000000000001,0.9373333333333332,-0.14,-0.13412174868390936,0.5,5.598415605095542
3175,Kepler-939,5734.577,0.948111111111111,1.176852,-0.28,0.39065,4.47,5.598415605095542
3176,Kepler-94,4688.857142857143,0.7806346153846153,0.7341807142857142,0.34,-0.3738008743419547,1.41,0.5
3177,Kepler-940,5893.121,1.0256666666666667,0.9881639999999999,-0.08,-0.05668,0.3,5.598415605095542
3178,Kepler-941,5731.806,0.9593333333333334,0.9369962,-0.15,-0.20576,4.07,5.598415605095542
3179,Kepler-942,4744.744000000001,0.7576666666666667,0.7283108,0.04,-0.58453,14.0,5.598415605095542
3180,Kepler-943,5703.9,0.9430000000000001,1.191827,-0.07,0.40676,4.27,5.598415605095542
3181,Kepler-944,5578.959,0.8988888888888888,0.8939170000000001,0.0758,-0.07777,4.47,5.598415605095542
3182,Kepler-945,5935.0,1.0676666666666668,1.02664,0.07,0.02447,4.47,5.598415605095542
3183,Kepler-946,5823.222222222223,0.986,1.0099066666666667,-0.3,0.13422,4.17,5.598415605095542
3184,Kepler-947,5645.2,0.9793333333333334,1.052311,-0.07,0.14245,4.27,5.598415605095542
3185,Kepler-948,5627.369000000001,0.9373333333333334,0.9413815,0.1706,-0.10938,4.8,5.598415605095542
3186,Kepler-949,5170.802121212121,0.8241388888888889,0.8311013131313132,-0.01,-0.44164,1.74,5.598415605095542
3187,Kepler-95,5673.166666666667,1.0545833333333334,1.3948191666666665,0.27,0.28105,4.6,0.7
3188,Kepler-950,5819.2,0.9573333333333333,1.1095359999999999,-0.46,0.35461,3.8,5.598415605095542
3189,Kepler-952,5838.3,1.0374444444444444,1.060573,0.1,0.09668,3.5,5.598415605095542
3190,Kepler-953,5509.531625,1.0515833333333333,1.012557142857143,0.33999999999999997,-0.13412174868390936,8.71,5.598415605095542
3191,Kepler-954,4958.263636363637,0.7777,0.730602909090909,0.257,-0.5722,14.0,5.598415605095542
3192,Kepler-955,5302.1,0.8392222222222222,0.8172941,0.02,-0.4085,4.37,5.598415605095542
3193,Kepler-956,6000.683999999999,1.0747777777777778,1.020078,0.0545,0.05208,3.47,5.598415605095542
3194,Kepler-957,4928.737999999999,0.7278888888888889,0.7581005000000001,0.074,-0.46836,2.75,5.598415605095542
3195,Kepler-958,5478.342,0.906888888888889,0.9056198,0.106,-0.28165,2.51,5.598415605095542
3196,Kepler-959,6859.279,1.5892222222222223,2.209769,0.0327,0.73752,1.35,5.598415605095542
3197,Kepler-96,5741.75,1.0054545454545456,0.9588545833333333,0.03,-0.05231,2.34,0.5
3198,Kepler-960,4725.175454545454,0.8209,1.106813090909091,0.06,-0.6289,1.51,5.598415605095542
3199,Kepler-961,5629.181818181818,0.962,0.9331055454545454,0.04,-0.19378,10.9,5.598415605095542
3200,Kepler-962,5434.948181818182,0.8657999999999999,0.7893512727272728,0.0767,-0.26115,1.91,5.598415605095542
3201,Kepler-963,5309.885,0.8446111111111111,0.9176087,-0.01580689234808702,-0.17937587434195468,4.348463839681134,5.598415605095542
3202,Kepler-964,5470.504545454546,0.9665000000000001,1.097353090909091,0.1477,-0.306,1.91,5.598415605095542
3203,Kepler-965,5951.079090909091,1.0143,1.0201399999999998,-0.46,0.14794,6.17,5.598415605095542
3204,Kepler-966,5635.6,0.895888888888889,1.1641270000000001,-0.32,0.23291,4.07,5.598415605095542
3205,Kepler-967,5126.55,0.7100333333333333,0.7054,-0.86,-0.13412174868390936,9.895,5.598415605095542
3206,Kepler-968,4429.689417989418,0.6340482804232804,0.6358371698412698,-0.34333333333333327,-0.7626,2.968975893120756,5.598415605095542
3207,Kepler-969,5262.276666666667,0.8747625,0.8451985404040403,0.13,-0.38876,1.51,5.598415605095542
